Nome atribuído,Estágio da Instrução (Portaria 11/86),CÓDIGO IPHAN
Igreja Matriz de São Pedro e Capela da Ordem Terceira de São Francisco,TOMBADO,RS4315602BIED00002
Convento e Igreja de Santo Antônio,TOMBADO,PE2607208BICA00001 
Igreja de Nossa Senhora da Conceição dos Militares,TOMBADO,PE2611606BIED00028
Igreja de Nossa Senhora dos Prazeres,TOMBADO,PE2607901BIED00002
"Capela Dourada, claustro e Igreja da Ordem Terceira de São Francisco",TOMBADO,PE2611606BIED00003
Convento e Igreja de Santo Antônio,TOMBADO,RJ3304557BIED00090
Museu da União dos Caixeiros Viajantes: acervo,TOMBADO,RS4316907BMCL00001
Mosteiro e Igreja de São Bento,TOMBADO,RJ3304557BIED00021
"Casa na Ladeira do Morro do Valongo, 21",TOMBADO,RJ3304557BIED00075
"Asilo São Cornélio: prédio (Casa à Rua do Catete, nº 6)",TOMBADO,RJ3304557BIED00078
Hospital da Santa Casa de Misericórdia: prédio,TOMBADO,RJ3304557BIED00049
Igreja de Nossa Senhora do Bom Sucesso,TOMBADO,RJ3304557BIED00037
Casa da Marquesa dos Santos,TOMBADO,RJ3304557BIED00063
Igreja de Santa Luzia,TOMBADO,RJ3304557BIED00033
Igreja de São José,TOMBADO,RJ3304557BIED00026
Igreja de Santa Cruz dos Militares,TOMBADO,RJ3304557BIED00034
Igreja de Nossa Senhora da Lapa dos Mercadores,TOMBADO,RJ3304557BIED00040
Igreja de Santa Rita,TOMBADO,RJ3304557BIED00031
Casa do Bispo  Seminário São José,TOMBADO,RJ3304557BIED00071
Igreja do Rosário e São Benedito,TOMBADO,RJ3304557BIED00024
Igreja do Santíssimo Sacramento da Antiga Sé,TOMBADO,RJ3304557BIED00023
Igreja da Mãe dos Homens,TOMBADO,RJ3304557BIED00045
Igreja Matriz de Guaratuba,TOMBADO,PR4109609BIED00001
Igreja Matriz da Lapa,TOMBADO,PR4113205BIED00004
"Igreja de São Francisco da Penitência, Cemitério e Museu de Arte Sacra: acervo ",TOMBADO,RJ3304557BIED00030
Igreja de São Francisco da Prainha,TOMBADO,RJ3304557BIED00029
Igreja de Nossa Senhora do Carmo da Lapa do Desterro,TOMBADO,RJ3304557BIED00036
"Igreja da Ordem Terceira de Nossa Senhora do Carmo (rerratificação incluiu a Igreja da Ordem 3ª de N. Sª do Carmo e as edificações anexas à Igreja: Hospital da Ordem, atual sede do Museu de Arte Sacra e os imóveis de números 46,48,50,52 e 54 situados na Rua do Carmo)",TOMBADO,RJ3304557BIED00044
Igreja de Nossa Senhora da Conceição e Boa Morte,TOMBADO,RJ3304557BIED00042
"Casa de Banhos de D. João VI  Praia do Cajú, 115, atual 385",TOMBADO,RJ3304557BIED00067
"Prédio à Rua dos Inválidos, 193203",TOMBADO,RJ3304557BIED00009
"Casa de José Bonifácio  Praia da Guarda, 119",TOMBADO,RJ3304557BIED00068
Casa do Coronel Joaquim Lacerda,TOMBADO,PR4113205BIED00003
Convento e Igreja de Nossa Senhora da Lapa ,TOMBADO,BA2927408BIED00034
Convento e Igreja do Desterro,TOMBADO,BA2927408BIED00033
Fábrica de Ferro Patriótica: ruínas,TOMBADO,MG3146107BIED00029
"Casa à Avenida Joana Angélica, 149",TOMBADO,BA2927408BIED00011
Igreja de São Francisco de Paula,TOMBADO,RJ3304557BIED00028
Convento e Igreja de Santa Teresa,TOMBADO,RJ3304557BIED00088
Acervo Nosso Sagrado,RERRATIFIC.,RJ3304557BMAC00003
Igreja de Nossa Senhora da Saúde,TOMBADO,RJ3304557BIED00038
"Igreja de Nossa Senhora da Pena, em Jacarepaguá",TOMBADO,RJ3304557BIED00039
"Igreja Matriz de São Salvador do Mundo, Guaratiba ",TOMBADO,RJ3304557BIED00022
"Museu Coronel David Carneiro: coleção etnográfica, arqueológica, histórica e artística",TOMBADO,PR4106902BIED00001
Igreja de Nossa Senhora dos Navegantes: ruínas,RERRATIFIC.,PB2503209BIED00003
Igreja da Ordem Terceira de São Francisco,TOMBADO,PB2507507BIED00012
Igreja da Ordem Terceira do Carmo ou de Santa Teresa de Jesus,TOMBADO,PB2507507BIED00021
Igreja de Nossa Senhora da Ajuda,TOMBADO,RJ3304557BIED00043
Capela do Engenho da Graça,TOMBADO,PB2507507BIED00006
Forte Velho: ruínas,TOMBADO,PB2503209BIED00001
Igreja de Nossa Senhora da Glória do Outeiro,TOMBADO,RJ3304557BIED00041
Igreja e Mosteiro de São Bento,TOMBADO,PE2609600BIED00012
Igreja da Candelária,TOMBADO,RJ3304557BIED00047
Casa: Fazenda do Viegas  Volume II  Extensão de área tombada,TOMBADO,RJ3304557BIED00077
"Casa à Praça Quinze de Novembro, 32, esquina da Travessa do Comércio",TOMBADO,RJ3304557BIED00107
"Casa à Praça Quinze de Novembro, 34",TOMBADO,RJ3304557BIED00108
"Sobrado à Rua Peregrino de Carvalho, 117",TOMBADO,PB2507507BIED00015
Fazenda da Taquara: casa e Capela de Nossa Senhora dos Remédios (em Jacarepaguá),TOMBADO,RJ3304557BICA00009
Convento e Igreja de Santo Antônio e Casa de Oração e claustro da Ordem Terceira de São Francisco,TOMBADO,PB2507507BIED00009
Igreja de São Bento,TOMBADO,PB2507507BIED00009
"Diamantina, MG: conjunto arquitetônico e urbanístico",TOMBADO,MG3121605BICU00001
"Serro, MG: conjunto arquitetônico e urbanístico",TOMBADO,MG3167103BICU00001
Capela do Bom Jesus,TOMBADO,MG3168804BIED00005
"Tiradentes, MG: conjunto arquitetônico e urbanístico",TOMBADO,MG3168804BICU00001
Capela da Santíssima Trindade,TOMBADO,MG3168804BIED00009
Capela de Nossa Senhora das Mercês,TOMBADO,MG3168804BIED00008
Capela de São Francisco de Paula ,TOMBADO,MG3168804BIED00007
Capela de São João Evangelista,TOMBADO,MG3168804BIED00006
Igreja Matriz de Nossa Senhora do Bonsucesso,TOMBADO,MG3110004BIED00003
Igreja de Nossa Senhora da Conceição,TOMBADO,MG3153905BIED00001
Igreja de Nossa Senhora do Ó,TOMBADO,MG3156700BIED00016
Igreja de Nossa Senhora das Mercês,TOMBADO,MG3156700BIED00004
Igreja de Nossa Senhora do Carmo ,TOMBADO,MG3156700BIED00005
Igreja de Nossa Senhora do Rosário,TOMBADO,MG3156700BIED00006
Igreja de São Francisco de Assis,TOMBADO,MG3156700BIED00008
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3156700BIED00009
"São João del Rei, MG: conjunto arquitetônico e urbanístico",RERRATIFIC.,MG3162500BICU00001
